연 번,행정동,도로명주소,지번주소,위도,경도
270,원효로1동,서울특별시 용산구 백범로81길 22 (원효로1가),서울특별시 용산구 원효로1가 26-38,37.53914142,126.9651137
271,원효로1동,서울특별시 용산구 백범로79다길 15 (원효로1가),서울특별시 용산구 원효로1가 17-139,37.54148341,126.9658158
272,원효로1동,서울특별시 용산구 원효로81길 27 (원효로1가),서울특별시 용산구 원효로1가 29-6,37.5393598,126.9666178
273,원효로1동,서울특별시 용산구 백범로77길 51 (원효로1가),서울특별시 용산구 원효로1가 17-117,37.54044824,126.9660194
274,원효로1동,서울특별시 용산구 원효로81길 18 (원효로1가),서울특별시 용산구 원효로1가 83-14,37.53992255,126.9669071
275,원효로1동,서울특별시 용산구 백범로79나길 13-2 (원효로1가),서울특별시 용산구 원효로1가 13-8,37.5408719,126.9657635
276,원효로1동,서울특별시 용산구 원효로 189-17 (원효로2가),서울특별시 용산구 원효로2가 77-29,37.53691565,126.963053
277,원효로1동,서울특별시 용산구 백범로77길 42 (원효로1가),서울특별시 용산구 원효로1가 30-49,37.54011437,126.9657672
278,원효로1동,서울특별시 용산구 백범로79나길 7 (원효로1가),서울특별시 용산구 원효로1가 17-110,37.54098772,126.9652512
279,원효로1동,서울특별시 용산구 백범로79다길 4 (원효로1가),서울특별시 용산구 원효로1가 17-40,37.54131035,126.9650932
280,원효로1동,서울특별시 용산구 원효로56길 3 (원효로2가),서울특별시 용산구 원효로2가 61-15,37.53564121,126.9629437
281,원효로1동,서울특별시 용산구 원효로53길 8 (원효로2가),서울특별시 용산구 원효로2가 80-19,37.53605066,126.9621273
282,원효로1동,서울특별시 용산구 원효로53가길 22 (원효로2가),서울특별시 용산구 원효로2가 78-4,37.53733699,126.9630863
283,원효로2동,서울특별시 용산구 원효로41가길 31-1 (원효로3가),서울특별시 용산구 원효로3가 169,37.53424458,126.9563423
284,원효로2동,서울특별시 용산구 원효로 103-3 (원효로3가),서울특별시 용산구 원효로3가 277-36,37.53260976,126.9551911
285,원효로2동,서울특별시 용산구 원효로19가길 6 (원효로3가),서울특별시 용산구 원효로3가 242-1,37.53364138,126.9548789
286,원효로2동,서울특별시 용산구 원효로 97 (원효로3가),서울특별시 용산구 원효로3가 250-1,37.53287118,126.9547758
287,원효로2동,서울특별시 용산구 원효로39길 33 (원효로3가),서울특별시 용산구 원효로3가 29-1,37.53492641,126.9582482
288,원효로2동,서울특별시 용산구 효창원로23길 14-2 (신창동),서울특별시 용산구 신창동 77-44,37.53640157,126.9548159
289,원효로2동,서울특별시 용산구 원효로25길 13 (원효로4가),서울특별시 용산구 원효로4가 112-1,37.53247042,126.9534687
290,원효로2동,서울특별시 용산구 효창원로8길 32 (원효로4가),서울특별시 용산구 원효로4가 87-1,37.5333189,126.952408
291,원효로2동,서울특별시 용산구 원효로35가길 1 (원효로3가),서울특별시 용산구 원효로3가 156,37.53399715,126.956376
292,원효로2동,서울특별시 용산구 효창원로12길 7 (원효로4가),서울특별시 용산구 원효로4가 60-1,37.53453498,126.952778
293,원효로2동,서울특별시 용산구 효창원로16가길 34 (원효로3가),서울특별시 용산구 원효로3가 188,37.53391244,126.9556509
294,원효로2동,서울특별시 용산구 효창원로8길 15-11 (원효로4가),서울특별시 용산구 원효로4가 85-6,37.53438001,126.952092
295,원효로2동,서울특별시 용산구 원효로19길 42 (원효로4가),서울특별시 용산구 원효로4가 100,37.53316023,126.9542528
296,원효로2동,서울특별시 용산구 효창원로 46-1 (신창동),서울특별시 용산구 신창동 56-17,37.53536402,126.9542827
297,원효로2동,서울특별시 용산구 원효로39길 27 (원효로3가),서울특별시 용산구 원효로3가 26-3,37.5347407,126.9582288
298,원효로2동,서울특별시 용산구 효창원로23길 3 (신창동),서울특별시 용산구 신창동 80-22,37.5359437,126.9549469
299,원효로2동,서울특별시 용산구 원효로35길 53 (신창동),서울특별시 용산구 신창동 53-1,37.53530903,126.9552031
300,원효로2동,서울특별시 용산구 원효로27길 9 (원효로4가),서울특별시 용산구 원효로4가 108,37.53285265,126.9544792
301,원효로2동,서울특별시 용산구 효창원로 48-27 (신창동),서울특별시 용산구 신창동 56-12,37.53525076,126.9548447
302,원효로2동,서울특별시 용산구 효창원로23길 22 (신창동),서울특별시 용산구 신창동 77-114,37.53672265,126.9543867
303,원효로2동,서울특별시 용산구 원효로41길 3 (원효로3가),서울특별시 용산구 원효로3가 99,37.53411151,126.9578212
304,원효로2동,서울특별시 용산구 원효로35길 40-4 (신창동),서울특별시 용산구 신창동 22,37.53479959,126.9559048
305,원효로2동,서울특별시 용산구 효창원로 46-23 (신창동),서울특별시 용산구 신창동 56-16,37.53520067,126.9542766
306,원효로2동,서울특별시 용산구 효창원로23나길 13 (신창동),서울특별시 용산구 신창동 77-24,37.53711175,126.9548685
307,원효로2동,서울특별시 용산구 효창원로 58 (신창동),서울특별시 용산구 신창동 77-73,37.53597823,126.9555839
308,원효로2동,서울특별시 용산구 효창원로 40 (신창동),서울특별시 용산구 신창동 88-2,37.53528105,126.9536911
309,원효로2동,서울특별시 용산구 효창원로 48-10 (신창동),서울특별시 용산구 신창동 56-13,37.53522552,126.9546538
310,원효로2동,서울특별시 용산구 효창원로23길 6-7 (신창동),서울특별시 용산구 신창동 77-9,37.53636915,126.9551325
311,원효로2동,서울특별시 용산구 효창원로15길 7 (산천동),서울특별시 용산구 산천동 199,37.53568348,126.9531701
312,원효로2동,서울특별시 용산구 효창원로23가길 15 (신창동),서울특별시 용산구 신창동 80-36,37.53575121,126.9541389
313,원효로2동,서울특별시 용산구 효창원로23길 24-7 (신창동),서울특별시 용산구 신창동 82-7,37.53703022,126.9541099
314,원효로2동,서울특별시 용산구 효창원로15길 34-18 (산천동),서울특별시 용산구 산천동 1-16,37.53685084,126.9537265
315,효창동,서울특별시 용산구 백범로45길 23 (효창동),서울특별시 용산구 효창동 5-197,37.54163076,126.9587083
316,효창동,서울특별시 용산구 백범로47가길 39 (효창동),서울특별시 용산구 효창동 5-150,37.54262578,126.9587325
317,효창동,서울특별시 용산구 효창원로69나길 5 (효창동),서울특별시 용산구 효창동 5-164,37.54173895,126.9609955
318,효창동,서울특별시 용산구 효창원로69가길 20-1 (효창동),서울특별시 용산구 효창동 5-330,37.54151702,126.9603452
319,효창동,서울특별시 용산구 백범로51길 23 (효창동),서울특별시 용산구 효창동 130-2,37.54104164,126.9600322
320,효창동,서울특별시 용산구 백범로45길 8 (효창동),서울특별시 용산구 효창동 5-218,37.54120912,126.9583468
